code,trend,regime,days,period_start,period_end,strategy_ann_return,strategy_ann_vol,strategy_sharpe_rf,strategy_max_drawdown,benchmark_ann_return,active_ann_return,information_ratio,capm_alpha_ann,capm_beta,avg_position
sh.510050,ma5_gt_ma20,bear_close_le_ma200,1054,2017-05-05,2026-05-28,-0.11392162887135604,0.0808385063402562,-1.6566563997071941,-0.4055043193742782,-0.22222989447318364,0.1083082656018276,0.6715808886453516,-0.08032247072808238,0.2255964376359655,0.290001483222018
sh.588080,ret20_gt_0,bear_close_le_ma200,409,2022-11-24,2026-04-07,-0.12676172983785816,0.08543970901624041,-1.7177227255064929,-0.2466585327383215,-0.29459904146878346,0.1678373116309253,0.851864232572949,-0.08280833236774444,0.2011560145367755,0.17705929462574974
sh.510300,close_gt_ma20,bear_close_le_ma200,985,2017-05-04,2026-04-07,-0.11286206499331664,0.07503672976331559,-1.7706270704013416,-0.3853149634071441,-0.23515015724545896,0.12228809225214232,0.7151126142276178,-0.08878722460455302,0.17791625981796488,0.2613340339740932
sh.588000,close_gt_ma20,bear_close_le_ma200,400,2022-11-24,2026-04-07,-0.12552860032709168,0.08212645870674053,-1.7720062768900007,-0.24155752529474528,-0.30662804706042357,0.1810994467333319,0.9413061348401968,-0.08099997963172774,0.192466537016787,0.21389420688224584
sh.588000,ma5_gt_ma20,bear_close_le_ma200,400,2022-11-24,2026-04-07,-0.12765060335396838,0.08245928450447892,-1.7905879761295826,-0.22572963500299348,-0.30662804706042357,0.17897744370645519,0.9270233827434724,-0.08415124767599465,0.19037907792471537,0.21712314563137164
sh.510300,ma5_gt_ma20,bear_close_le_ma200,985,2017-05-04,2026-04-07,-0.12453774499180637,0.08038415320974229,-1.7980875486076384,-0.417702579969787,-0.23515015724545896,0.11061241225365259,0.6618657326315297,-0.09372661093634149,0.20716323061670075,0.27512163204701096
sh.510300,ret20_gt_0,bear_close_le_ma200,985,2017-05-04,2026-04-07,-0.12832434821864225,0.0815349095736247,-1.8191514407053797,-0.4194250185660796,-0.23515015724545896,0.10682580902681671,0.6350667242577587,-0.09858948283385194,0.20471991602586403,0.24276728605806422
sh.588080,ma5_gt_ma20,bear_close_le_ma200,409,2022-11-24,2026-04-07,-0.1347551973821739,0.08328759961571221,-1.8580820926069685,-0.24405875995989024,-0.29459904146878346,0.15984384408660957,0.7943215500989262,-0.09877786246900552,0.18181706502883285,0.2174406949062617
sh.588000,ret20_gt_0,bear_close_le_ma200,400,2022-11-24,2026-04-07,-0.12900989284810238,0.07532562802383858,-1.9782097641581518,-0.21021172176303382,-0.30662804706042357,0.1776181542123212,0.902230628315263,-0.09584611234938316,0.16389416518489486,0.16413080342650738
sz.159845,close_gt_ma20,bear_close_le_ma200,2,2025-04-07,2025-04-08,0.0,0.0,,0.0,-0.999999625262942,0.999999625262942,1.0095379548957455,,,0.0
