code,trend,risk_free_annual,days,strategy_ann_return,strategy_ann_vol,sharpe_excess_rf,benchmark_ann_return,active_ann_return_vs_bh,tracking_error_ann,information_ratio,capm_alpha_ann,capm_beta,capm_r2,max_drawdown,avg_position
sz.159915,ret20_gt_0,0.02,2474,0.06406808612233328,0.12440383511311891,0.3542341446488583,0.07736452151515283,-0.01329643539281955,0.21951401079214816,-0.06057214910719108,0.021222633915574704,0.3011397122032832,0.4819169045802325,-0.27573214019603287,0.3435139135474683
sz.159915,ma5_gt_ma20,0.02,2474,0.045603778751897917,0.1239471928915234,0.2065700574139338,0.07736452151515283,-0.03176074276325491,0.21909186582306286,-0.14496541276847164,0.003620979807963547,0.30157590083818353,0.4868817692266103,-0.34006999766386725,0.35425830269634495
sh.510050,ret20_gt_0,0.02,2475,0.034157648446164535,0.10918057623212359,0.1296718604604599,0.034859649922174496,-0.0007020014760099613,0.1304489295592589,-0.005381427646679644,0.006753277660292225,0.4216796524811208,0.4853377624006998,-0.24478266172511554,0.4674539783904778
sh.510300,ret20_gt_0,0.02,2475,0.03208662083626712,0.11111621578541131,0.10877459019670827,0.047591031206994705,-0.015504410370727584,0.1346895048100314,-0.11511223827420923,-0.00028494770582400403,0.4155737409978369,0.4800051933502384,-0.24837773653229855,0.4716388656678971
sz.159915,close_gt_ma20,0.02,2474,0.02830408422441355,0.12239183022988746,0.06784835400219168,0.07736452151515283,-0.04906043729073928,0.2216715611139227,-0.22132039420936753,-0.012376060681188874,0.2923339870620064,0.46919934568138766,-0.3916038411018571,0.35089300317673033
sh.510500,ret20_gt_0,0.02,2409,0.025262448704741258,0.11772875780973384,0.044699772618395514,0.034619082470710216,-0.009356633765968958,0.1612145412236165,-0.05803839836625292,-0.0018991051771436362,0.37085812441606136,0.46603294380222215,-0.2846152431972927,0.44010619053055416
sh.510050,ma5_gt_ma20,0.02,2475,0.021286281617149516,0.1070618482487207,0.012014378961227075,0.034859649922174496,-0.01357336830502498,0.13208792585096016,-0.10276009875679575,-0.0055839538223209665,0.4080263950727996,0.47258137418891255,-0.2878659154399793,0.4540965177780942
sh.510500,close_gt_ma20,0.02,2409,0.018671519916332313,0.10443689837742999,-0.01272040920697035,0.034619082470710216,-0.015947562554377903,0.17380151690811457,-0.09175732662223578,-0.0070012769507717,0.2945250178009198,0.37351031258646694,-0.27556965177558235,0.4395862957160946
sh.510050,close_gt_ma20,0.02,2475,0.018032882385216498,0.10904524966836146,-0.018039461790092495,0.034859649922174496,-0.016826767536958,0.13086250156351303,-0.12858356928773262,-0.00891586474004608,0.41956505429408447,0.48167562744067505,-0.24281576181571485,0.45818935864450966
sh.510300,close_gt_ma20,0.02,2475,0.01075170446710616,0.10641044429612113,-0.08691153950224563,0.047591031206994705,-0.036839326739888545,0.13860149009167605,-0.2657931506762422,-0.02036672899282455,0.3850820939869069,0.4494100311648974,-0.3296744091715116,0.46844290875871747
sh.510500,ma5_gt_ma20,0.02,2409,0.004808777120280716,0.11662030533327089,-0.1302622458096527,0.034619082470710216,-0.0298103053504295,0.16239977551986923,-0.1835612472677481,-0.021917645465458328,0.36400902717050454,0.4575537360831482,-0.3943157206234641,0.4363740036951846
sh.510300,ma5_gt_ma20,0.02,2475,0.005228894356191782,0.10869443561971356,-0.13589569290821388,0.047591031206994705,-0.04236213685080292,0.13574925851675557,-0.31206164448827656,-0.026408335642628337,0.40364174810842074,0.4732407767153265,-0.3461969442184012,0.47257485143439637
