code,trend,regime,days,strategy_ann_return,strategy_ann_vol,sharpe_excess_rf,max_drawdown,benchmark_ann_return,active_ann_return_vs_bh,tracking_error_ann,information_ratio,capm_alpha_ann,capm_beta,capm_r2,avg_position
sh.510300,close_gt_ma20,bear_close_le_ma200,974,-0.25430724670508675,0.1521432500931187,-1.8029537724295892,-0.6627620437621666,-0.23624395375491936,-0.018063292950167398,0.10760504422403412,-0.16786660031066528,-0.12382587202659337,0.6563384270035642,0.6885571207961547,0.610407857119406
sh.510300,ma5_gt_ma20,bear_close_le_ma200,974,-0.2829291939289217,0.15436240695483586,-1.9624544596376647,-0.710045831584393,-0.23624395375491936,-0.04668524017400233,0.10298299875415716,-0.45332958584212685,-0.1565012761551653,0.6786840684174786,0.715223728868148,0.6995878874154684
sh.588080,ret20_gt_0,bull_close_gt_ma200,393,0.890772267654935,0.36406684629045283,2.391792267072383,-0.22504026365815333,0.8938086602671989,-0.0030363926122638496,0.17368095997829344,-0.01748258768631482,0.1135487728541583,0.8130562174004681,0.8155300256908077,0.6224865098919979
sz.159845,close_gt_ma20,bull_close_gt_ma200,82,0.18882371812582144,0.24750385666863275,0.6821054039244683,-0.11237753677538764,0.19046265402509643,-0.0016389358992749958,0.05239365426393847,-0.0312811908674796,0.005927169140440056,0.9513925939680226,0.9576879153001123,0.9101222061351518
sh.588080,ma5_gt_ma20,bull_close_gt_ma200,393,0.8598509081186014,0.36896182902664765,2.2762541868740156,-0.24649621420563683,0.8938086602671989,-0.03395775214859742,0.16446165802505647,-0.20647823058809125,0.08450700823302477,0.8335605993744802,0.8345887915759318,0.6875155654406531
sh.510050,ma5_gt_ma20,bull_close_gt_ma200,1013,0.26178102438523054,0.15096632639798804,1.60155599035927,-0.11937208343089101,0.29629140597611014,-0.0345103815908796,0.10939888290165742,-0.31545460680711174,0.05696494296494355,0.6481033113788301,0.6733948791110715,0.7578901077780359
sh.512100,close_gt_ma20,bull_close_gt_ma200,197,0.34110323807677445,0.20634488230589498,1.556148301273382,-0.12098420494709572,0.3827302213788675,-0.041626983302093024,0.08685808268228828,-0.4792528457525049,0.015181680414538427,0.8495494506077012,0.8494534600663097,0.8638709023028842
sh.510300,ma5_gt_ma20,bull_close_gt_ma200,1091,0.24066693608149925,0.1520909846966476,1.450887680960377,-0.09939076425164217,0.31989093040351135,-0.0792239943220121,0.1181394281061482,-0.6705974084353057,0.03612512648426876,0.6182908687422585,0.6409016946474346,0.7467078712025147
sh.510300,close_gt_ma20,bull_close_gt_ma200,1091,0.21301996263632628,0.13769563895222267,1.4017870435482704,-0.10021905805038378,0.31989093040351135,-0.10687096776718508,0.13412970610062377,-0.7967732941054142,0.04079047815537357,0.5124974214345147,0.5372243585408396,0.7379304567386221
sz.159845,ma5_gt_ma20,bull_close_gt_ma200,82,0.09600180936349201,0.22574579261033217,0.33666988201495046,-0.1204222814330379,0.19046265402509643,-0.09446084466160443,0.11329703436839936,-0.8337450771610956,-0.05104738420995164,0.7941106920853549,0.8020310336849965,0.8332690270210011
sh.588080,close_gt_ma20,bull_close_gt_ma200,393,0.7548903452844409,0.3699596439243724,1.9864067807208399,-0.2579845852594318,0.8938086602671989,-0.13891831498275797,0.16271282704824866,-0.8537637597653258,0.02384363169937144,0.8375647251934065,0.8380870296739683,0.7072531015939741
sh.512100,ma5_gt_ma20,bull_close_gt_ma200,197,0.30747312258185655,0.2033770674907412,1.413498218499703,-0.135377818773606,0.3827302213788675,-0.07525709879701092,0.08664101565543367,-0.8686082247270055,-0.006942460759268987,0.8377928212492979,0.8503916257550839,0.8248664669759979
sh.588000,ma5_gt_ma20,bull_close_gt_ma200,394,0.8000886701483432,0.367199881277616,2.124425169839771,-0.29095986056067136,0.9908584558193545,-0.19076978567101133,0.18492450948266034,-1.0316089857677793,0.03450361739267933,0.7968703771390551,0.7982489703836078,0.666300419749441
sh.510050,close_gt_ma20,bull_close_gt_ma200,1013,0.15660412341681496,0.13542671853362004,1.0086940368632105,-0.11949685534591203,0.29629140597611014,-0.1396872825592952,0.1321680593984628,-1.0568913790143752,0.002819881532879031,0.5119328744139172,0.5221061758980992,0.689936094882057
sz.159949,ma5_gt_ma20,bull_close_gt_ma200,1010,0.5425533237026416,0.3088706272390684,1.69181941440544,-0.2629180245581819,0.7217767756473643,-0.17922345194472267,0.15323276965578492,-1.1696156921742134,-0.002808334878046085,0.7931293346801992,0.8089094944406894,0.7460269932335049
sh.588000,ret20_gt_0,bull_close_gt_ma200,394,0.7545202522333179,0.36340578434041143,2.0212123303609117,-0.29267822942425836,0.9908584558193545,-0.23633820358603663,0.1915510823782748,-1.233812937268171,0.01907171600565221,0.781334236967117,0.783534464967039,0.6235418062304134
sh.588000,close_gt_ma20,bull_close_gt_ma200,394,0.7685515570253667,0.37394460253811757,2.001771256877719,-0.286725196383498,0.9908584558193545,-0.2223068987939878,0.15868125769532967,-1.4009650668437497,-0.011901116639041146,0.8382160952488853,0.8516585670209404,0.7013866774430519
sz.159915,ret20_gt_0,bull_close_gt_ma200,1120,0.3383375560182391,0.2623229227571246,1.2135331242591272,-0.19913569110152118,0.5931359656957489,-0.2547984096775098,0.1798822797333493,-1.4164730959337035,-0.028930584095548387,0.6697396202589604,0.6999894498197943,0.5775063506340067
sh.510300,ret20_gt_0,bull_close_gt_ma200,1091,0.20695275158997894,0.17544394893047408,1.0655981738308093,-0.15713633479226163,0.31989093040351135,-0.11293817881353241,0.07615744809640612,-1.4829564492571539,-0.04418670033615721,0.8220776283604877,0.8514547437540166,0.8260658232042761
sz.159915,ma5_gt_ma20,bull_close_gt_ma200,1120,0.23228392843699663,0.20668849682454213,1.027071809502802,-0.24330285775475002,0.5931359656957489,-0.36085203725875226,0.23586043346876223,-1.5299388369289337,-0.00876544841868463,0.4398902993699054,0.48641633648205573,0.4770651244151277
sz.159915,close_gt_ma20,bull_close_gt_ma200,1120,0.2296169808580213,0.21443609207720468,0.977526585321988,-0.1756172652104553,0.5931359656957489,-0.3635189848377276,0.2338362967184887,-1.554587503903902,-0.01935240535335533,0.4595082722172254,0.4931089630660206,0.4491096123011556
sh.510500,close_gt_ma20,bull_close_gt_ma200,1071,0.14753024264317194,0.16703741791547494,0.7634830820224089,-0.154112411405967,0.3575521274353346,-0.21002188479216266,0.13377025670869783,-1.5700192999518023,-0.0554170661216351,0.6035515491422223,0.6308400551124,0.528173207487896
sz.159845,ret20_gt_0,bull_close_gt_ma200,82,0.1740804024181586,0.2533393016915091,0.6081977860891955,-0.13279916753196652,0.19046265402509643,-0.016382251606937848,0.009756678975578243,-1.6790807249007527,-0.013132765596498043,0.994381378697005,0.9985486831428875,0.9954993847460059
sh.510050,ret20_gt_0,bull_close_gt_ma200,1013,0.16986855741455686,0.16966427402791898,0.8833241899228318,-0.16000917320819075,0.29629140597611014,-0.12642284856155328,0.07526615316638094,-1.6796772950795957,-0.05917185560703704,0.8163986272809883,0.8459899972509368,0.7878328035646567
sz.159949,ret20_gt_0,bull_close_gt_ma200,1010,0.4596120346959012,0.3100166739651102,1.4180270663292642,-0.260172947411886,0.7217767756473643,-0.26216474095146314,0.15294789083107346,-1.7140788246698775,-0.05967056514082052,0.7963756421409846,0.8095262918275637,0.7608279986463321
sh.510500,ma5_gt_ma20,bull_close_gt_ma200,1071,0.15065410315704186,0.18231484265100473,0.7166399688430516,-0.2312747416880362,0.3575521274353346,-0.20689802427829274,0.11688440985827064,-1.770107959899605,-0.08075759138794378,0.7025779828774242,0.7175680229668588,0.5506972617594929
sh.512100,ret20_gt_0,bull_close_gt_ma200,197,0.23586974538516836,0.2103299945727586,1.0263383775750226,-0.14873065124360607,0.3827302213788675,-0.1468604759936991,0.0780911948374165,-1.8806278518270616,-0.07599593371157809,0.8805453323000375,0.8783157780273481,0.8459371378930117
sz.159949,close_gt_ma20,bull_close_gt_ma200,1010,0.4681617893798209,0.32175131450943945,1.3928825436598886,-0.263227760720231,0.7217767756473643,-0.2536149862675434,0.12147207476595885,-2.087846007044708,-0.08832567897945766,0.861795767491069,0.8801023505095324,0.8142599940452013
sh.510500,ret20_gt_0,bull_close_gt_ma200,1071,0.11606841914173494,0.1852066127801111,0.5187094440077762,-0.19080406531814953,0.3575521274353346,-0.24148370829359966,0.11201187438367338,-2.155875969599861,-0.11775568236005513,0.7251166552692491,0.7406633278345256,0.557695216074552
