model,code,trend,regime,days,strategy_ann_return,strategy_ann_vol,sharpe_excess_rf,max_drawdown,benchmark_ann_return,active_ann_return_vs_bh,tracking_error_ann,information_ratio,capm_alpha_ann,capm_beta,capm_r2,avg_position
EGARCH,sh.512100,ma5_gt_ma20,all,396,0.2806584170304493,0.1948768913073406,1.3375542645503546,-0.1353778187736057,0.2910585040643905,-0.0104000870339411,0.1324117131568905,-0.0785435577109284,0.0669885905767769,0.6795280490782389,0.6923100717218369,0.8068003103222524
EGARCH,sh.510500,close_gt_ma20,all,2198,0.0243293814256402,0.1619342906104491,0.0267354209495692,-0.3330191023010725,0.037643445850342,-0.0133140644247018,0.1460241211220201,-0.0911771584201242,-0.005704208480073,0.549634456905297,0.5686222681287727,0.4567430768588933
EGARCH,sz.159915,close_gt_ma20,all,2263,0.0693579752191899,0.1826580882145694,0.2702205837236666,-0.3459320719362783,0.0980826544200679,-0.0287246792008779,0.2139921338345175,-0.1342324069869365,0.014664273950693,0.4263864316415856,0.4600078511214043,0.354671757088883
EGARCH,sh.510050,close_gt_ma20,all,2264,0.0111014718653819,0.1416948774298787,-0.0628006339821406,-0.4342552261792836,0.0267861714301038,-0.0156846995647219,0.1150157743209672,-0.1363699862677241,-0.0129134104315498,0.6003745209357475,0.6124883607515781,0.6736391898199281
EGARCH,sh.510050,ma5_gt_ma20,all,2264,0.0116534105415737,0.1464961027883019,-0.0569748225349564,-0.4883417635259154,0.0267861714301038,-0.0151327608885301,0.1044593430992867,-0.1448674713007402,-0.0129805621749249,0.6546088063691928,0.6811977078209087,0.7047603673937117
EGARCH,sz.159915,ma5_gt_ma20,all,2263,0.0666239299391218,0.1781397645931615,0.2617266843570962,-0.3548306228252798,0.0980826544200679,-0.0314587244809461,0.2152500367502142,-0.1461496822760231,0.0128957603627359,0.4135328921070872,0.45491962918658,0.3796004148185796
EGARCH,sh.510500,ret20_gt_0,all,2198,0.0109454626573755,0.1805514542035668,-0.0501493459721224,-0.5076091508537941,0.037643445850342,-0.0266979831929665,0.1226602192898244,-0.2176580422531606,-0.0209722281663729,0.6778177572051588,0.6956287297614674,0.5008453584952499
EGARCH,sh.512100,close_gt_ma20,all,396,0.2539864037602068,0.1947822910468034,1.2012714426076,-0.1867931177923616,0.2910585040643905,-0.0370721003041836,0.1376330067693129,-0.269354722202068,0.0492487576313346,0.6668227368721564,0.6673112092079858,0.8206322622207957
EGARCH,sz.159949,ma5_gt_ma20,all,1885,0.1313338473510048,0.2619677696216699,0.4249906296174968,-0.5844766315400616,0.1868914706431221,-0.0555576232921173,0.1743291953315361,-0.3186937402335784,-0.0014083253948097,0.6825750974593527,0.7109042544841893,0.6492309596231765
EGARCH,sz.159949,close_gt_ma20,all,1885,0.1293942272556607,0.2640260282987144,0.4143312231773376,-0.3496628512209768,0.1868914706431221,-0.0574972433874614,0.1713518043459933,-0.3355508487752079,-0.0046178023218718,0.6926590065389958,0.7206948932729538,0.6336537158193284
EGARCH,sz.159845,ma5_gt_ma20,all,281,0.3023065310348569,0.1756750638780909,1.606981234575002,-0.120422281433038,0.3505243257228763,-0.0482177946880193,0.1351986494555935,-0.3566440558554296,0.068012755953916,0.6273677894617244,0.6299710929297024,0.8004757092453308
EGARCH,sz.159845,ret20_gt_0,all,281,0.3003380438016714,0.1909220237635564,1.4683379019114655,-0.1383166530704033,0.3505243257228763,-0.0501862819212048,0.1130367301297332,-0.4439820743541118,0.0349438949941387,0.7396313827656844,0.7413358957077565,0.8518779636977498
EGARCH,sh.510300,close_gt_ma20,all,2264,-0.0145410874903748,0.1412769169760634,-0.2444920814362559,-0.5152816487200629,0.0435421636083042,-0.058083251098679,0.117737741897863,-0.4933273745734483,-0.0482512181230203,0.5853128412152191,0.6133450545841861,0.6900614594867341
EGARCH,sh.510050,ret20_gt_0,all,2264,-0.0209760634033023,0.1496417515340765,-0.2738277451528711,-0.4414583583221608,0.0267861714301038,-0.0477622348334062,0.0956619973289697,-0.4992811792247849,-0.0462344088853768,0.6940633208093715,0.7339293498509583,0.6974458018073915
EGARCH,sh.512100,ret20_gt_0,all,396,0.2105610941056672,0.1948259174563407,0.9781095687557628,-0.1818472021335991,0.2910585040643905,-0.0804974099587232,0.1378585206278051,-0.5839132002297684,0.0140933676279517,0.6664264330168962,0.6662197896958606,0.7701875835500466
EGARCH,sh.510300,ma5_gt_ma20,all,2264,-0.0196493632059684,0.1495282019285856,-0.2651631110023304,-0.5086575454232753,0.0435421636083042,-0.0631915268142726,0.1070927071834745,-0.5900637725593297,-0.0549548753248544,0.6523772502342916,0.6801779910444921,0.7363056162620351
EGARCH,sh.510300,ret20_gt_0,all,2264,-0.0225514454154646,0.1509329385890688,-0.2819228580138859,-0.4840353755889972,0.0435421636083042,-0.0660936090237688,0.1030430448073181,-0.6414174692465497,-0.0584805567478385,0.6701905130314946,0.7045303031968093,0.7105382978133337
