model,code,trend,regime,days,strategy_ann_return,strategy_ann_vol,sharpe_excess_rf,max_drawdown,benchmark_ann_return,active_ann_return_vs_bh,tracking_error_ann,information_ratio,capm_alpha_ann,capm_beta,capm_r2,avg_position
EGARCH,sh.588080,close_gt_ma20,bear_close_le_ma200,244,-0.0776738351104898,0.1173447880603948,-0.8323661981495016,-0.177934798350413,-0.2358615083752776,0.1581876732647877,0.2301442733024273,0.6873413402597115,-0.0404160089607724,0.2091312371400454,0.2140086757274288,0.1923357428447172
EGARCH,sh.510050,close_gt_ma20,bear_close_le_ma200,1052,-0.1594936534478522,0.1521435964810373,-1.179764759078925,-0.5361707607979612,-0.2217971209458582,0.0623034674980059,0.107654324378318,0.5787363197697435,-0.0145049755564252,0.6625572056316426,0.6742083969718444,0.5962108950920089
EGARCH,sh.588000,ret20_gt_0,bear_close_le_ma200,243,-0.1788184764218274,0.084673031893001,-2.3480731937539305,-0.1983083742792366,-0.2926070496364006,0.1137885732145731,0.2271281935589009,0.5009883248380808,-0.1687462130431865,0.1322005613059198,0.1471944131355035,0.1627937783552125
EGARCH,sh.588080,ma5_gt_ma20,bear_close_le_ma200,244,-0.1459431214093203,0.1138802105782337,-1.4571725900991392,-0.2058468269793194,-0.2358615083752776,0.0899183869659573,0.2311033714109224,0.3890829736363924,-0.1199975267254189,0.1999036709932651,0.207618568441253,0.1842398824265938
EGARCH,sh.588000,ma5_gt_ma20,bear_close_le_ma200,243,-0.2167091585192706,0.0921422114816805,-2.5689546052010326,-0.2204446068106975,-0.2926070496364006,0.0758978911171299,0.225544975661068,0.336508897592042,-0.2096068657524698,0.1490707386181119,0.1580456306024582,0.1832906429938615
EGARCH,sz.159949,ma5_gt_ma20,bear_close_le_ma200,676,-0.2014789463519049,0.1844574470487381,-1.200704823228876,-0.5128184255520515,-0.2583840263762635,0.0569050800243586,0.170830597403782,0.3331082422539069,-0.0769113026256155,0.533709914502679,0.6011828251594493,0.574781793679592
EGARCH,sh.588080,ret20_gt_0,bear_close_le_ma200,244,-0.1561314643062448,0.0827290443114122,-2.129016064095256,-0.1772868805319108,-0.2358615083752776,0.0797300440690328,0.2438178461647609,0.3270065966178493,-0.1580700679029526,0.1096450131225147,0.1183539969897207,0.135393170212657
EGARCH,sh.510050,ret20_gt_0,bear_close_le_ma200,1052,-0.2174016113914063,0.1357141283867668,-1.7492770591639797,-0.6451667939412749,-0.2217971209458582,0.0043955095544518,0.1172453244473911,0.0374898493834966,-0.1126359653980566,0.5657059861635844,0.6177121954576983,0.5931723760950972
EGARCH,sh.510050,ma5_gt_ma20,bear_close_le_ma200,1052,-0.2193201673102917,0.1475685769582259,-1.6217556084317264,-0.6448719020321634,-0.2217971209458582,0.0024769536355665,0.1085574771572059,0.0228169786221135,-0.0945293863644336,0.6405261689715142,0.6697931897725588,0.629154834967249
EGARCH,sh.510300,ret20_gt_0,bear_close_le_ma200,974,-0.2574700887265192,0.130039256394933,-2.133740967295556,-0.668187534976226,-0.2362439537549193,-0.0212261349715998,0.1313903589799273,-0.1615501710809893,-0.1747764527253904,0.4952266484122788,0.5365976258310994,0.6078624236308366
